t,银行业,证券业,保险业,多元金融,房地产
2013w33,0.029879,0.020847,0.028563,0.042463,0.014779
2013w34,0.004824,-0.049081,-0.018425,-0.011212,-0.030688
2013w35,0.000464,0.04488,0.009763,0.069091,0.004745
2013w36,0.018419,0.000899,0.023594,0.04761,0.000108
2013w37,0.110131,0.091235,0.068802,0.076162,0.042452
2013w38,-0.017917,-0.026023,-0.013306,-0.010991,-0.03086
2013w39,-0.033267,-0.017941,-0.027671,-0.004469,-0.017643
2013w40,-0.028899,0.004111,0.012024,0.1598,-0.096491
2013w41,0.012889,0.008756,0.012067,0.042153,0.043004
2013w42,-0.013512,-0.019274,0.005069,-0.014594,-0.002819
2013w43,0.002932,-0.005599,-0.023662,-0.047295,-0.019539
2013w44,0.023469,-0.018106,0.006,-0.04194,-0.016023
2013w45,-0.014557,-0.02646,-0.001332,-0.010498,-0.000651
2013w46,-0.01359,-0.034993,-0.001892,-0.012904,-0.028097
2013w47,0.022992,0.102609,0.104936,0.072576,0.024328
2013w48,-0.009182,0.023699,0.004516,-0.002497,-0.012277
2013w49,0.019414,0.054704,0.023941,0.037154,0.007535
2013w50,-0.021076,-0.012929,-0.01518,-0.018135,-0.000913
2013w51,-0.029455,-0.03948,-0.048166,-0.030272,-0.02767
2013w52,-0.023173,-0.017021,-0.012174,-0.037688,-0.031678
2014w1,0.009293,0.097067,0.023537,-0.074873,0.045902
2014w2,-0.017075,-0.035092,-0.041721,-0.052987,-0.057178
2014w3,-0.001757,-0.020839,-0.012409,-0.008122,-0.018447
2014w4,-0.011197,0.025867,0.009473,0.03085,0.032432
2014w5,0.005646,0.00542,-0.027639,0.011782,0.010358
2014w6,-0.003776,0.027333,-0.011248,-0.000592,-0.002306
2014w7,0.042467,0.025758,0.054288,0.040434,0.017723
2014w8,0.007899,-0.023364,0.017471,-0.001473,-0.008402
2014w9,-0.030951,-0.083504,-0.038542,-0.063951,-0.078445
2014w10,-0.007678,0.006087,-0.005674,0.005373,0.035946
2014w11,-0.01983,-0.023033,-0.050172,-0.049042,0.010587
2014w12,0.00284,-0.006753,0.01366,0.037359,0.0452
2014w13,0.031352,0.030379,0.021557,0.052481,0.120244
2014w14,0.033641,0.037706,0.005574,-0.004656,0.066211
2014w15,0.036822,0.061773,0.046559,0.077622,0.004642
2014w16,-0.017345,-0.00044,-0.010992,-0.005849,-0.008092
2014w17,-0.009468,-0.020965,-0.026141,-0.029345,-0.012883
2014w18,0.002452,-0.021719,-0.018496,-0.020044,0.01505
2014w19,-0.012822,0.019682,0.023032,0.005194,-0.038154
2014w20,0.010426,0.017912,0.01361,0.018807,-0.007114
2014w21,-0.007853,-0.040551,-0.01718,-0.016371,0.003461
2014w22,0.010011,0.02166,0.017213,0.013695,0.035866
2014w23,-0.001714,0.005186,-0.002313,-0.010205,-0.024557
2014w24,0.012108,0.00697,0.016892,0.002105,0.012613
2014w25,0.00679,-0.007685,0.002917,-0.009624,-0.018572
2014w26,-0.0157,-0.012829,-0.011076,-0.003238,-0.008427
2014w27,-0.049571,0.18281,-0.017661,0.020559,0.038852
2014w28,-0.010376,-0.011854,0.0082,0.008077,0.01463
2014w29,-0.014571,0.011266,0.004354,0.009635,0.024916
2014w30,0.009879,0.026926,0.028445,0.002287,0.048473
2014w31,0.079855,0.090152,0.054671,0.048022,0.039473
2014w32,-0.002344,0.009596,0.006015,0.007118,-0.004785
2014w33,-0.010607,-0.004399,0.001035,0.017755,-0.003519
2014w34,-0.00765,-0.004564,0.003692,0.019143,-0.00742
2014w35,-0.014185,-0.026717,-0.031305,-0.009342,-0.017268
2014w36,0.023873,0.035342,0.034318,0.034954,0.028519
2014w37,0.000745,0.006854,0.008586,0.011898,0.000291
2014w38,0.000897,-0.013394,0.01927,0.025488,0.004806
2014w39,-0.004334,0.022103,-0.006008,0.011897,-0.005651
2014w40,-0.018503,0.299783,-0.069373,0.071666,-0.013242
2014w41,0.012055,0.001213,0.01691,0.031053,0.023456
2014w42,-0.008774,0.005781,-0.009168,0.028409,-0.015976
2014w43,-0.000965,0.003276,0.007776,0.008278,-0.033597
2014w44,0.013343,0.006538,0.011894,0.008923,0.003639
2014w45,0.03599,0.069631,0.018537,0.03155,0.03511
2014w46,0.04905,0.104545,0.035763,0.001175,0.028283
2014w47,-0.032697,0.021874,-0.012292,0.022104,-0.003036
2014w48,0.069013,0.252867,0.124958,0.097966,0.097375
2014w49,0.164129,0.30052,0.102296,0.026611,0.088565
2014w50,0.015877,0.203426,0.03987,0.029099,0.075095
2014w51,0.037124,0.062672,0.031422,0.025215,0.005954
2014w52,0.050293,-0.044565,0.041823,-0.029299,-0.003394
2015w1,0.051396,0.36994,0.123505,0.042811,0.118371
2015w2,0.020284,0.016472,-0.000889,0.001588,0.052714
2015w3,-0.011613,-0.042608,0.042503,-0.016969,-0.024998
2015w4,-0.036691,-0.091782,0.126174,0.034176,0.010156
2015w5,-0.019169,-0.00285,0.137405,0.052958,0.02328
2015w6,-0.04986,-0.022169,-0.07707,-0.020987,-0.022557
2015w7,0.002884,0.063215,0.02874,0.008091,-0.007392
2015w8,0.009401,0.402215,0.019522,0.05897,0.043129
2015w9,0.003833,0.104144,-0.007226,0.005641,0.001229
2015w10,-0.028131,-0.01078,-0.010721,0.028164,-0.027215
2015w11,0.05707,-0.019314,0.00217,0.005594,-0.009854
2015w12,0.062896,0.10724,0.099636,0.051587,0.047072
2015w13,0.00168,0.07263,1.3e-05,0.035151,0.041518
2015w14,0.039524,0.252055,0.029352,0.074652,0.23225
2015w15,0.057127,0.096001,0.048623,0.037228,0.078742
2015w16,0.068817,-0.001656,-0.000361,0.000216,0.01831
2015w17,-0.007824,0.024715,0.011797,0.032553,0.012169
2015w18,0.021638,0.000932,0.047548,0.036544,0.068034
2015w19,-0.051941,-0.05085,0.00191,-0.035659,-0.016563
2015w20,0.001565,0.021305,-0.008971,0.054362,0.009366
2015w21,-0.004563,0.008833,-0.014998,0.037762,-0.007099
2015w22,0.033643,0.030114,0.03995,0.090658,0.047489
2015w23,0.035928,0.028546,-0.0116,0.072552,0.008226
2015w24,0.068643,0.049889,0.041994,0.017571,0.035249
2015w25,-0.068779,-0.05963,-0.085446,-0.042421,-0.021178
2015w26,-0.036006,-0.059869,-0.074383,-0.077368,-0.060308
2015w27,-0.023616,-0.291271,-0.109272,-0.168901,0.258854
2015w28,0.056237,-0.03813,-0.008031,-0.142519,0.210977
2015w29,-0.01401,0.003339,0.032677,0.141422,0.080656
2015w30,-0.031094,-0.031343,0.027441,0.073265,0.039194
